id,name,relationship,relative,relativename
Q1111220,David Andrews,child,Q3777503,
Q1111220,David Andrews,child,Q5237464,
Q1410728,Noel Ahern,sibling,Q154550,
Q1410728,Noel Ahern,sibling,Q1911246,
Q154550,Bertie Ahern,child,Q11971868,
Q154550,Bertie Ahern,child,Q229403,
Q154550,Bertie Ahern,partner,Q5058005,
Q154550,Bertie Ahern,sibling,Q1410728,
Q154550,Bertie Ahern,sibling,Q1911246,
Q1670096,Simon Coveney,father,Q1233610,
Q1672642,Michael Ahern,father,Q6539473,
Q1680465,Michael Lowry,child,Q55083471,
Q1728820,Leo Varadkar,partner,Q30151227,
Q174662,Mary McAleese,spouse,Q6776147,
Q1822660,Liam Aylward,father,Q4931697,
Q1822660,Liam Aylward,sibling,Q888438,
Q1822676,Liam T. Cosgrave,father,Q381661,
Q185272,Brian Cowen,father,Q4893027,
Q185272,Brian Cowen,sibling,Q4864133,
Q1911246,Maurice Ahern,sibling,Q1410728,
Q1911246,Maurice Ahern,sibling,Q154550,
Q2149121,Richard Boyd Barrett,father,Q7931767,
Q2149121,Richard Boyd Barrett,mother,Q224782,
Q22966979,Catherine Martin,spouse,Q84771810,
Q23006320,Danny Healy-Rae,father,Q6116405,
Q23006320,Danny Healy-Rae,sibling,Q6831036,
Q23006333,Jim O'Callaghan,sibling,Q6873393,
Q24006725,Lynn Ruane,child,Q64829644,
Q24196930,Catherine Ardagh,father,Q7459463,
Q2439786,Tom Kitt,father,Q6830171,
Q2439786,Tom Kitt,sibling,Q249955,
Q2439786,Tom Kitt,sibling,Q631505,
Q249955,Áine Brady,father,Q6830171,
Q249955,Áine Brady,sibling,Q2439786,
Q249955,Áine Brady,sibling,Q631505,
Q249955,Áine Brady,spouse,Q5552659,
Q25184305,Joan Freeman,sibling,Q58480707,
Q273274,Éamon Ó Cuív,father,Q4965729,
Q273274,Éamon Ó Cuív,mother,Q65512592,
Q278178,Seán Haughey,father,Q333735,
Q278178,Seán Haughey,mother,Q6792688,
Q3080811,Frances Black,child,Q93266598,
Q3080811,Frances Black,child,Q93267128,
Q3080811,Frances Black,relative,Q7386529,
Q3080811,Frances Black,relative,Q93268035,
Q3080811,Frances Black,sibling,Q262746,
Q333701,John Bruton,sibling,Q981847,
Q3777503,Barry Andrews,father,Q1111220,
Q3777503,Barry Andrews,sibling,Q5237464,
Q3777562,John Deasy,spouse,Q6792609,
Q380182,Albert Reynolds,child,Q26702996,
Q381658,Denis Naughten,father,Q1822671,
Q436181,Síle de Valera,father,Q65512591,
Q436181,Síle de Valera,mother,Q75887676,
Q444705,Mary Coughlan,father,Q5052026,
Q4864133,Barry Cowen,father,Q4893027,
Q4864133,Barry Cowen,sibling,Q185272,
Q4961087,Brendan Ryan,sibling,Q7459603,
Q5162247,Conor Lenihan,father,Q912542,
Q5162247,Conor Lenihan,relative,Q52325325,
Q5162247,Conor Lenihan,sibling,Q912430,
Q5381683,Eoghan Murphy,sibling,Q15242150,
Q5381749,Eoin Ó Broin,spouse,Q16945605,
Q540812,Frances Fitzgerald,spouse,Q677407,
Q540847,Mary O'Rourke,child,Q52325325,
Q540847,Mary O'Rourke,father,Q7147003,
Q540847,Mary O'Rourke,sibling,Q912542,
Q5446263,Fiach Mac Conghail,father,Q6933252,
Q57276,Michael D. Higgins,spouse,Q23727205,
Q57815,Enda Kenny,father,Q1606945,
Q57815,Enda Kenny,relative,Q1381218,
Q57815,Enda Kenny,spouse,Q23015007,
Q6116405,Jackie Healy-Rae,child,Q23006320,
Q6116405,Jackie Healy-Rae,child,Q6831036,
Q631505,Michael P. Kitt,father,Q6830171,
Q631505,Michael P. Kitt,sibling,Q2439786,
Q631505,Michael P. Kitt,sibling,Q249955,
Q6376580,Katherine Zappone,spouse,Q19957898,
Q6405442,Kieran O'Donnell,relative,Q1000314,
Q6776147,Martin McAleese,spouse,Q174662,
Q6831036,Michael Healy-Rae,father,Q6116405,
Q6831036,Michael Healy-Rae,sibling,Q23006320,
Q7459463,Seán Ardagh,child,Q24196930,
Q7459603,Seán Ryan,sibling,Q4961087,
Q7647744,Susan Denham,relative,Q1395393,
Q84731161,Mairéad Farrell,relative,Q532887,
Q84753822,Christopher O'Sullivan,father,Q5113670,
Q84753822,Christopher O'Sullivan,spouse,Q83752372,
Q84771810,Francis Noel Duffy,spouse,Q22966979,
Q888438,Bobby Aylward,father,Q4931697,
Q888438,Bobby Aylward,sibling,Q1822660,
Q912430,"Brian Lenihan, Jnr",father,Q912542,
Q912430,"Brian Lenihan, Jnr",relative,Q52325325,
Q912430,"Brian Lenihan, Jnr",sibling,Q5162247,
Q954374,"Edward Haughey, Baron Ballyedmond",child,Q76260664,
Q954374,"Edward Haughey, Baron Ballyedmond",child,Q76260665,
Q954374,"Edward Haughey, Baron Ballyedmond",child,Q76260666,
Q954374,"Edward Haughey, Baron Ballyedmond",father,Q76260661,
Q954374,"Edward Haughey, Baron Ballyedmond",spouse,Q19958040,
Q954374,"Edward Haughey, Baron Ballyedmond",spouse,Q76260663,
Q981847,Richard Bruton,sibling,Q333701,
