,year,country_isocode,country_name,id,position,name,title,gender,birthyear,deadyear,party,party_english,party_otherlanguage,core,minister,leader,classification,portfolio_1,prestige_1,portfolio_2,prestige_2,portfolio_3,prestige_3,portfolio_4,prestige_4,m_finance,m_defense,m_agriculture,m_foreignaffairs
92908,2000,IRL,Ireland,626,President,Mary Mcaleese,NA,Female,1951,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,0,0,President,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
92909,2000,IRL,Ireland,627,Prime Minister,Bertie Ahern,NA,Male,1951,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,0,1,Prime Minister,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
92910,2000,IRL,Ireland,628,Dep. Prime Minister,Mary Harney,NA,Female,1953,A (2020),pd,Progressive Democrats,Progressive Democrats,1,0,0,Deputy Prime Minister,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
92911,2000,IRL,Ireland,629,"Min. For Agriculture, Food & Forestry",Joseph Walsh,NA,Male,1943,2014,ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),"Agriculture, Food, Fisheries & Livestock",Medium,Environment,Medium,NA,NA,NA,NA,0,0,1,0
92912,2000,IRL,Ireland,630,"Min. For Arts, Culture & The Gaeltacht",Sile De Valera,NA,Female,1954,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),Culture & Heritage,Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
92913,2000,IRL,Ireland,631,Min. For Defense,Michael Smith,NA,Male,1940,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),"Defense, Military & National Security",High,NA,NA,NA,NA,NA,NA,0,1,0,0
92914,2000,IRL,Ireland,632,"Min. For Education, Science & Technology",Michael Woods,Dr.,Male,1935,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),"Education, Training & Skills",Medium,"Science, Technology & Research",Low,NA,NA,NA,NA,0,0,0,0
92915,2000,IRL,Ireland,633,Min. For Enterprise & Employment,Mary Harney,NA,Female,1953,A (2020),pd,Progressive Democrats,Progressive Democrats,1,1,0,Minister (Full Rank),"Enterprises, Companies & Business",Medium,"Labor, Employment & Social Security",Medium,NA,NA,NA,NA,0,0,0,0
92916,2000,IRL,Ireland,634,Min. For Environment & Rural Development,Noel Dempsey,NA,Male,1953,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),Environment,Medium,Planning & Development,Medium,NA,NA,NA,NA,0,0,0,0
92917,2000,IRL,Ireland,635,Min. For Finance,Charles Mccreevy,NA,Male,1949,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),"Finance, Budget & Treasury",High,NA,NA,NA,NA,NA,NA,1,0,0,0
92918,2000,IRL,Ireland,636,Min. For Foreign Affairs,Brian Cowen,NA,Male,1960,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),Foreign Relations,High,NA,NA,NA,NA,NA,NA,0,0,0,1
92919,2000,IRL,Ireland,637,Min. For Health & Children,Micheal Martin,NA,Male,1960,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),Health & Social Welfare,Medium,Children & Family,Low,NA,NA,NA,NA,0,0,0,0
92920,2000,IRL,Ireland,638,"Min. For Justice, Equality & Law Reform",John O'Donoghue,NA,Male,1956,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),Justice & Legal Affairs,Medium,Political Reform,Medium,NA,NA,NA,NA,0,0,0,0
92921,2000,IRL,Ireland,639,Min. For Marine & Natural Resources,Frank Fahey,NA,Male,1951,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),Natural Resources,Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
92922,2000,IRL,Ireland,640,"Min. For Social, Community & Family Affairs",Dermot Ahern,NA,Male,1955,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),Children & Family,Low,NA,NA,NA,NA,NA,NA,0,0,0,0
92923,2000,IRL,Ireland,641,Min. For Tourism & Trade,Jim Mcdaid,Dr.,Male,1949,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),Foreign Economic Relations,Medium,Tourism,Low,NA,NA,NA,NA,0,0,0,0
92924,2000,IRL,Ireland,642,"Min. For Transport, Energy & Communications",Mary O'Rourke,NA,Female,1937,A (2020),ff,Fianna Fail – The Republican Party,Fianna Fail – The Republican Party,1,1,0,Minister (Full Rank),Communications & Information,Medium,Energy,Medium,Transport,Medium,NA,NA,0,0,0,0
92925,2000,IRL,Ireland,643,Attorney General,Michael Mcdowell,NA,Male,1951,A (2020),independent,independent,independent,1,0,0,"Attorney General, Chief Justice or Legal Official",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
92926,2000,IRL,Ireland,644,"Governor, Central Bank Of Ireland",Maurice O'Connell,NA,Male,1936,A (2020),NA,NA,NA,0,0,0,Governor (Central Bank),NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
